time(%Y-%m-%dT%H:%M:%S.%f),rel_time(sec),velocity(m/s)
2022-01-02T04:00:03.375000,3.35,6.150190141
2022-01-02T04:00:03.425000,3.4,4.209631887
2022-01-02T04:00:03.475000,3.45,7.130824622
2022-01-02T04:00:03.525000,3.5,6.804638441
2022-01-02T04:00:03.575000,3.55,5.281393158
2022-01-02T04:00:03.625000,3.6,6.167186238
2022-01-02T04:00:03.675000,3.65,6.162743462
2022-01-02T04:00:03.725000,3.7,7.990554648
2022-01-02T04:00:03.775000,3.75,7.329076335
2022-01-02T04:00:03.825000,3.8,5.585734305
2022-01-02T04:00:03.875000,3.85,5.53724712
2022-01-02T04:00:03.925000,3.9,6.688352223
2022-01-02T04:00:03.975000,3.95,8.276137474
2022-01-02T04:00:04.025000,4,6.823084375
2022-01-02T04:00:04.075000,4.05,6.591372717
2022-01-02T04:00:04.125000,4.1,6.564200655
2022-01-02T04:00:04.175000,4.15,5.163837716
2022-01-02T04:00:04.225000,4.2,6.454550958
2022-01-02T04:00:04.275000,4.25,10.86999844
2022-01-02T04:00:04.325000,4.3,8.160313892
2022-01-02T04:00:04.375000,4.35,3.317660808
2022-01-02T04:00:04.425000,4.4,8.068000452
2022-01-02T04:00:04.475000,4.45,9.520936902
2022-01-02T04:00:04.525000,4.5,10.23106062
2022-01-02T04:00:04.575000,4.55,10.84836514
2022-01-02T04:00:04.625000,4.6,7.818289432
2022-01-02T04:00:04.675000,4.65,9.128575392
2022-01-02T04:00:04.725000,4.7,11.3625165
2022-01-02T04:00:04.775000,4.75,13.68440572
2022-01-02T04:00:04.825000,4.8,7.599742112
2022-01-02T04:00:04.875000,4.85,5.502129242
2022-01-02T04:00:04.925000,4.9,10.94315689
2022-01-02T04:00:04.975000,4.95,7.113277569
2022-01-02T04:00:05.025000,5,9.465174606
2022-01-02T04:00:05.075000,5.05,11.23514891
2022-01-02T04:00:05.125000,5.1,6.817204772
2022-01-02T04:00:05.175000,5.15,6.602843457
2022-01-02T04:00:05.225000,5.2,9.87755298
2022-01-02T04:00:05.275000,5.25,13.78996737
2022-01-02T04:00:05.325000,5.3,9.837252431
2022-01-02T04:00:05.375000,5.35,8.466539273
2022-01-02T04:00:05.425000,5.4,10.70140215
2022-01-02T04:00:05.475000,5.45,11.5111295
2022-01-02T04:00:05.525000,5.5,18.57609939
2022-01-02T04:00:05.575000,5.55,20.12205645
2022-01-02T04:00:05.625000,5.6,8.62687927
2022-01-02T04:00:05.675000,5.65,5.496538128
2022-01-02T04:00:05.725000,5.7,11.67043989
2022-01-02T04:00:05.775000,5.75,10.638246
2022-01-02T04:00:05.825000,5.8,16.79449886
2022-01-02T04:00:05.875000,5.85,15.67527318
2022-01-02T04:00:05.925000,5.9,1.771428857
2022-01-02T04:00:05.975000,5.95,9.336783836
2022-01-02T04:00:06.025000,6,18.89728856
2022-01-02T04:00:06.075000,6.05,17.16100705
2022-01-02T04:00:06.125000,6.1,12.58583489
2022-01-02T04:00:06.175000,6.15,8.843647549
2022-01-02T04:00:06.225000,6.2,15.64724735
2022-01-02T04:00:06.275000,6.25,18.66152603
2022-01-02T04:00:06.325000,6.3,19.54784156
2022-01-02T04:00:06.375000,6.35,14.67763164
2022-01-02T04:00:06.425000,6.4,3.098615712
2022-01-02T04:00:06.475000,6.45,15.52439471
2022-01-02T04:00:06.525000,6.5,29.5816654
2022-01-02T04:00:06.575000,6.55,17.59680807
2022-01-02T04:00:06.625000,6.6,12.36232921
2022-01-02T04:00:06.675000,6.65,13.45134004
2022-01-02T04:00:06.725000,6.7,10.57062627
2022-01-02T04:00:06.775000,6.75,21.03605726
2022-01-02T04:00:06.825000,6.8,23.74314495
2022-01-02T04:00:06.875000,6.85,14.52340753
2022-01-02T04:00:06.925000,6.9,4.593389856
2022-01-02T04:00:06.975000,6.95,5.287815856
2022-01-02T04:00:07.025000,7,24.94983232
2022-01-02T04:00:07.075000,7.05,26.12735074
2022-01-02T04:00:07.125000,7.1,16.33318621
2022-01-02T04:00:07.175000,7.15,12.78178911
2022-01-02T04:00:07.225000,7.2,6.831348811
2022-01-02T04:00:07.275000,7.25,20.51275477
2022-01-02T04:00:07.325000,7.3,33.37801932
2022-01-02T04:00:07.375000,7.35,16.08918855
2022-01-02T04:00:07.425000,7.4,7.421538327
2022-01-02T04:00:07.475000,7.45,19.69335771
2022-01-02T04:00:07.525000,7.5,26.06581523
2022-01-02T04:00:07.575000,7.55,30.91843539
2022-01-02T04:00:07.625000,7.6,24.09161155
2022-01-02T04:00:07.675000,7.65,7.396844556
2022-01-02T04:00:07.725000,7.7,8.257657253
2022-01-02T04:00:07.775000,7.75,27.34634244
2022-01-02T04:00:07.825000,7.8,37.63476184
2022-01-02T04:00:07.875000,7.85,18.31101168
2022-01-02T04:00:07.925000,7.9,6.747703016
2022-01-02T04:00:07.975000,7.95,6.718900543
2022-01-02T04:00:08.025000,8,13.95982433
2022-01-02T04:00:08.075000,8.05,39.7716955
2022-01-02T04:00:08.125000,8.1,37.60891672
2022-01-02T04:00:08.175000,8.15,18.24881092
2022-01-02T04:00:08.225000,8.2,8.877084276
2022-01-02T04:00:08.275000,8.25,9.608213123
2022-01-02T04:00:08.325000,8.3,27.84843236
2022-01-02T04:00:08.375000,8.35,31.86721924
2022-01-02T04:00:08.425000,8.4,25.2845618
2022-01-02T04:00:08.475000,8.45,19.19654106
2022-01-02T04:00:08.525000,8.5,19.55107158
2022-01-02T04:00:08.575000,8.55,39.3556311
2022-01-02T04:00:08.625000,8.6,37.10742642
2022-01-02T04:00:08.675000,8.65,12.33282941
2022-01-02T04:00:08.725000,8.7,12.06162554
2022-01-02T04:00:08.775000,8.75,25.42229215
2022-01-02T04:00:08.825000,8.8,28.09700353
2022-01-02T04:00:08.875000,8.85,28.40706256
2022-01-02T04:00:08.925000,8.9,21.67468823
2022-01-02T04:00:08.975000,8.95,10.28925221
2022-01-02T04:00:09.025000,9,18.48052654
2022-01-02T04:00:09.075000,9.05,37.52646209
2022-01-02T04:00:09.125000,9.1,41.37503866
2022-01-02T04:00:09.175000,9.15,25.75349467
2022-01-02T04:00:09.225000,9.2,4.137408639
2022-01-02T04:00:09.275000,9.25,6.196965085
2022-01-02T04:00:09.325000,9.3,36.26357688
2022-01-02T04:00:09.375000,9.35,53.21051441
2022-01-02T04:00:09.425000,9.4,33.82811733
2022-01-02T04:00:09.475000,9.45,13.08123651
2022-01-02T04:00:09.525000,9.5,22.48872602
2022-01-02T04:00:09.575000,9.55,34.38050189
2022-01-02T04:00:09.625000,9.6,37.21502892
2022-01-02T04:00:09.675000,9.65,35.91247364
2022-01-02T04:00:09.725000,9.7,25.78396831
2022-01-02T04:00:09.775000,9.75,25.87056223
2022-01-02T04:00:09.825000,9.8,24.40318212
2022-01-02T04:00:09.875000,9.85,39.96298907
2022-01-02T04:00:09.925000,9.9,34.02505526
2022-01-02T04:00:09.975000,9.95,4.019845421
2022-01-02T04:00:10.025000,10,42.92374304
2022-01-02T04:00:10.075000,10.05,40.26090316
2022-01-02T04:00:10.125000,10.1,14.73813125
2022-01-02T04:00:10.175000,10.15,36.05676985
2022-01-02T04:00:10.225000,10.2,7.40872024
2022-01-02T04:00:10.275000,10.25,11.23495844
2022-01-02T04:00:10.325000,10.3,50.8947858
2022-01-02T04:00:10.375000,10.35,49.07255819
2022-01-02T04:00:10.425000,10.4,33.5314312
2022-01-02T04:00:10.475000,10.45,8.374541359
2022-01-02T04:00:10.525000,10.5,11.00703117
2022-01-02T04:00:10.575000,10.55,32.4820745
2022-01-02T04:00:10.625000,10.6,37.76686971
2022-01-02T04:00:10.675000,10.65,48.97953522
2022-01-02T04:00:10.725000,10.7,30.72878855
2022-01-02T04:00:10.775000,10.75,7.238683647
2022-01-02T04:00:10.825000,10.8,26.94037986
2022-01-02T04:00:10.875000,10.85,29.47266735
2022-01-02T04:00:10.925000,10.9,26.79025435
2022-01-02T04:00:10.975000,10.95,26.39052248
2022-01-02T04:00:11.025000,11,21.06445538
2022-01-02T04:00:11.075000,11.05,21.46585883
2022-01-02T04:00:11.125000,11.1,2.74454848
2022-01-02T04:00:11.175000,11.15,11.10452456
2022-01-02T04:00:11.225000,11.2,15.84585239
2022-01-02T04:00:11.275000,11.25,7.296884603
2022-01-02T04:00:11.325000,11.3,37.01364327
2022-01-02T04:00:11.375000,11.35,40.04124802
2022-01-02T04:00:11.425000,11.4,8.874677228
2022-01-02T04:00:11.475000,11.45,-1.168530196
2022-01-02T04:00:11.525000,11.5,12.98015315
2022-01-02T04:00:11.575000,11.55,36.00434292
2022-01-02T04:00:11.625000,11.6,61.98394097
2022-01-02T04:00:11.675000,11.65,48.70770123
2022-01-02T04:00:11.725000,11.7,2.18576865
2022-01-02T04:00:11.775000,11.75,-8.159636635
2022-01-02T04:00:11.825000,11.8,12.69344399
2022-01-02T04:00:11.875000,11.85,40.48354708
2022-01-02T04:00:11.925000,11.9,44.01396654
2022-01-02T04:00:11.975000,11.95,28.69017254
2022-01-02T04:00:12.025000,12,-1.407492927
2022-01-02T04:00:12.075000,12.05,-19.58945736
2022-01-02T04:00:12.125000,12.1,27.08847466
2022-01-02T04:00:12.175000,12.15,30.1217813
2022-01-02T04:00:12.225000,12.2,3.499817961
2022-01-02T04:00:12.275000,12.25,33.45483743
2022-01-02T04:00:12.325000,12.3,33.97473721
2022-01-02T04:00:12.375000,12.35,17.86719044
2022-01-02T04:00:12.425000,12.4,30.50753709
2022-01-02T04:00:12.475000,12.45,24.31184732
2022-01-02T04:00:12.525000,12.5,14.24666312
2022-01-02T04:00:12.575000,12.55,45.06727898
2022-01-02T04:00:12.625000,12.6,69.48591
2022-01-02T04:00:12.675000,12.65,43.53153719
2022-01-02T04:00:12.725000,12.7,2.490820541
2022-01-02T04:00:12.775000,12.75,-2.511742969
2022-01-02T04:00:12.825000,12.8,20.00348676
2022-01-02T04:00:12.875000,12.85,44.25098957
2022-01-02T04:00:12.925000,12.9,59.98508083
2022-01-02T04:00:12.975000,12.95,1.777235588
2022-01-02T04:00:13.025000,13,-31.48005776
2022-01-02T04:00:13.075000,13.05,16.10433966
2022-01-02T04:00:13.125000,13.1,37.34966556
2022-01-02T04:00:13.175000,13.15,57.10993137
2022-01-02T04:00:13.225000,13.2,28.96130935
2022-01-02T04:00:13.275000,13.25,-17.8313696
2022-01-02T04:00:13.325000,13.3,-4.677903715
2022-01-02T04:00:13.375000,13.35,16.84316546
2022-01-02T04:00:13.425000,13.4,53.91900488
2022-01-02T04:00:13.475000,13.45,42.60646821
2022-01-02T04:00:13.525000,13.5,15.05178682
2022-01-02T04:00:13.575000,13.55,44.12686981
2022-01-02T04:00:13.625000,13.6,33.76928043
2022-01-02T04:00:13.675000,13.65,22.64343029
2022-01-02T04:00:13.725000,13.7,33.28091019
2022-01-02T04:00:13.775000,13.75,1.232271332
2022-01-02T04:00:13.825000,13.8,20.87114671
2022-01-02T04:00:13.875000,13.85,66.97429884
2022-01-02T04:00:13.925000,13.9,43.63625958
2022-01-02T04:00:13.975000,13.95,21.63856495
2022-01-02T04:00:14.025000,14,-10.86110675
2022-01-02T04:00:14.075000,14.05,-15.22883412
2022-01-02T04:00:14.125000,14.1,54.14262389
2022-01-02T04:00:14.175000,14.15,73.97714638
2022-01-02T04:00:14.225000,14.2,32.19226486
2022-01-02T04:00:14.275000,14.25,-28.13413764
2022-01-02T04:00:14.325000,14.3,-16.65729337
2022-01-02T04:00:14.375000,14.35,65.87508382
2022-01-02T04:00:14.425000,14.4,70.09674598
2022-01-02T04:00:14.475000,14.45,47.88626631
2022-01-02T04:00:14.525000,14.5,33.46691199
2022-01-02T04:00:14.575000,14.55,18.16774035
2022-01-02T04:00:14.625000,14.6,47.01789625
2022-01-02T04:00:14.675000,14.65,54.08851879
2022-01-02T04:00:14.725000,14.7,41.8614836
2022-01-02T04:00:14.775000,14.75,39.23375096
2022-01-02T04:00:14.825000,14.8,27.85982694
2022-01-02T04:00:14.875000,14.85,36.80006181
2022-01-02T04:00:14.925000,14.9,58.69554216
2022-01-02T04:00:14.975000,14.95,28.760398
2022-01-02T04:00:15.025000,15,-10.43549684
2022-01-02T04:00:15.075000,15.05,14.92447865
2022-01-02T04:00:15.125000,15.1,68.3737985
2022-01-02T04:00:15.175000,15.15,84.2654167
2022-01-02T04:00:15.225000,15.2,23.96465531
2022-01-02T04:00:15.275000,15.25,-6.067876256
2022-01-02T04:00:15.325000,15.3,23.49643413
2022-01-02T04:00:15.375000,15.35,48.36635949
2022-01-02T04:00:15.425000,15.4,92.93081741
2022-01-02T04:00:15.475000,15.45,76.27209124
2022-01-02T04:00:15.525000,15.5,21.72728687
2022-01-02T04:00:15.575000,15.55,8.832499521
2022-01-02T04:00:15.625000,15.6,31.12733735
2022-01-02T04:00:15.675000,15.65,78.40670711
2022-01-02T04:00:15.725000,15.7,73.62788532
2022-01-02T04:00:15.775000,15.75,45.80053655
2022-01-02T04:00:15.825000,15.8,20.51224584
2022-01-02T04:00:15.875000,15.85,24.71477989
2022-01-02T04:00:15.925000,15.9,70.35349383
2022-01-02T04:00:15.975000,15.95,46.84496019
2022-01-02T04:00:16.025000,16,14.39055394
2022-01-02T04:00:16.075000,16.05,37.79485536
2022-01-02T04:00:16.125000,16.1,58.93008064
2022-01-02T04:00:16.175000,16.15,65.56037573
2022-01-02T04:00:16.225000,16.2,39.28099112
2022-01-02T04:00:16.275000,16.25,3.381870434
2022-01-02T04:00:16.325000,16.3,26.47901104
2022-01-02T04:00:16.375000,16.35,71.70087098
2022-01-02T04:00:16.425000,16.4,73.80598595
2022-01-02T04:00:16.475000,16.45,71.59318088
2022-01-02T04:00:16.525000,16.5,50.18267294
2022-01-02T04:00:16.575000,16.55,17.17051425
2022-01-02T04:00:16.625000,16.6,50.7190099
2022-01-02T04:00:16.675000,16.65,114.227229
2022-01-02T04:00:16.725000,16.7,117.028604
2022-01-02T04:00:16.775000,16.75,47.06008817
2022-01-02T04:00:16.825000,16.8,16.79292942
2022-01-02T04:00:16.875000,16.85,44.3995706
2022-01-02T04:00:16.925000,16.9,70.91243769
2022-01-02T04:00:16.975000,16.95,81.28808133
2022-01-02T04:00:17.025000,17,44.64245585
2022-01-02T04:00:17.075000,17.05,32.00469471
2022-01-02T04:00:17.125000,17.1,55.26602607
2022-01-02T04:00:17.175000,17.15,67.60984878
2022-01-02T04:00:17.225000,17.2,86.59354347
2022-01-02T04:00:17.275000,17.25,59.85429228
2022-01-02T04:00:17.325000,17.3,39.92024184
2022-01-02T04:00:17.375000,17.35,85.50484399
2022-01-02T04:00:17.425000,17.4,104.9149181
2022-01-02T04:00:17.475000,17.45,88.71967339
2022-01-02T04:00:17.525000,17.5,57.03588321
2022-01-02T04:00:17.575000,17.55,38.05855518
2022-01-02T04:00:17.625000,17.6,80.80985153
2022-01-02T04:00:17.675000,17.65,133.6617103
2022-01-02T04:00:17.725000,17.7,106.9559359
2022-01-02T04:00:17.775000,17.75,47.6546012
2022-01-02T04:00:17.825000,17.8,57.73474848
2022-01-02T04:00:17.875000,17.85,69.38608904
2022-01-02T04:00:17.925000,17.9,101.0070444
2022-01-02T04:00:17.975000,17.95,140.8859761
2022-01-02T04:00:18.025000,18,71.37105338
2022-01-02T04:00:18.075000,18.05,49.55919397
2022-01-02T04:00:18.125000,18.1,75.5741186
2022-01-02T04:00:18.175000,18.15,52.06271874
2022-01-02T04:00:18.225000,18.2,75.76038724
2022-01-02T04:00:18.275000,18.25,81.22663207
2022-01-02T04:00:18.325000,18.3,91.36449289
2022-01-02T04:00:18.375000,18.35,120.6916185
2022-01-02T04:00:18.425000,18.4,88.55409661
2022-01-02T04:00:18.475000,18.45,93.11477898
2022-01-02T04:00:18.525000,18.5,99.2792849
2022-01-02T04:00:18.575000,18.55,104.9667904
2022-01-02T04:00:18.625000,18.6,164.4821248
2022-01-02T04:00:18.675000,18.65,141.8878188
2022-01-02T04:00:18.725000,18.7,93.05043906
2022-01-02T04:00:18.775000,18.75,88.11607131
2022-01-02T04:00:18.825000,18.8,48.83313772
2022-01-02T04:00:18.875000,18.85,79.19317196
2022-01-02T04:00:18.925000,18.9,135.1947856
2022-01-02T04:00:18.975000,18.95,122.1985522
2022-01-02T04:00:19.025000,19,103.6462167
2022-01-02T04:00:19.075000,19.05,81.66017519
2022-01-02T04:00:19.125000,19.1,94.08764861
2022-01-02T04:00:19.175000,19.15,106.6108065
2022-01-02T04:00:19.225000,19.2,103.1803145
2022-01-02T04:00:19.275000,19.25,127.499132
2022-01-02T04:00:19.325000,19.3,119.6542359
2022-01-02T04:00:19.375000,19.35,103.9050901
2022-01-02T04:00:19.425000,19.4,108.2658253
2022-01-02T04:00:19.475000,19.45,103.6285398
2022-01-02T04:00:19.525000,19.5,134.0712639
2022-01-02T04:00:19.575000,19.55,169.8607927
2022-01-02T04:00:19.625000,19.6,164.8234277
2022-01-02T04:00:19.675000,19.65,140.2631082
2022-01-02T04:00:19.725000,19.7,104.5857822
2022-01-02T04:00:19.775000,19.75,84.79911807
2022-01-02T04:00:19.825000,19.8,107.7372163
2022-01-02T04:00:19.875000,19.85,173.2973197
2022-01-02T04:00:19.925000,19.9,168.1267778
2022-01-02T04:00:19.975000,19.95,116.0434814
2022-01-02T04:00:20.025000,20,125.3146287
2022-01-02T04:00:20.075000,20.05,72.09221397
2022-01-02T04:00:20.125000,20.1,84.22585502
2022-01-02T04:00:20.175000,20.15,157.675006
2022-01-02T04:00:20.225000,20.2,126.6486863
2022-01-02T04:00:20.275000,20.25,138.5049524
2022-01-02T04:00:20.325000,20.3,124.0031478
2022-01-02T04:00:20.375000,20.35,111.2032361
2022-01-02T04:00:20.425000,20.4,148.5378858
2022-01-02T04:00:20.475000,20.45,131.4756767
2022-01-02T04:00:20.525000,20.5,159.9970065
2022-01-02T04:00:20.575000,20.55,166.0861815
2022-01-02T04:00:20.625000,20.6,145.8244797
2022-01-02T04:00:20.675000,20.65,163.5985914
2022-01-02T04:00:20.725000,20.7,135.1455243
2022-01-02T04:00:20.775000,20.75,146.1767835
2022-01-02T04:00:20.825000,20.8,172.8344201
2022-01-02T04:00:20.875000,20.85,122.2560119
2022-01-02T04:00:20.925000,20.9,148.3796429
2022-01-02T04:00:20.975000,20.95,154.5632333
2022-01-02T04:00:21.025000,21,59.88198754
2022-01-02T04:00:21.075000,21.05,115.1577717
2022-01-02T04:00:21.125000,21.1,164.4512291
2022-01-02T04:00:21.175000,21.15,151.6465718
2022-01-02T04:00:21.225000,21.2,201.3806035
2022-01-02T04:00:21.275000,21.25,139.2355271
2022-01-02T04:00:21.325000,21.3,124.2795065
2022-01-02T04:00:21.375000,21.35,162.785745
2022-01-02T04:00:21.425000,21.4,132.2634111
2022-01-02T04:00:21.475000,21.45,178.1828586
2022-01-02T04:00:21.525000,21.5,200.2844707
2022-01-02T04:00:21.575000,21.55,197.6830389
2022-01-02T04:00:21.625000,21.6,169.4856747
2022-01-02T04:00:21.675000,21.65,137.1580552
2022-01-02T04:00:21.725000,21.7,184.4706564
2022-01-02T04:00:21.775000,21.75,151.9782582
2022-01-02T04:00:21.825000,21.8,138.5356325
2022-01-02T04:00:21.875000,21.85,156.9784849
2022-01-02T04:00:21.925000,21.9,130.097454
2022-01-02T04:00:21.975000,21.95,134.5472104
2022-01-02T04:00:22.025000,22,114.8196221
2022-01-02T04:00:22.075000,22.05,161.7256181
2022-01-02T04:00:22.125000,22.1,185.9173138
2022-01-02T04:00:22.175000,22.15,142.4112086
2022-01-02T04:00:22.225000,22.2,174.1681822
2022-01-02T04:00:22.275000,22.25,162.4333762
2022-01-02T04:00:22.325000,22.3,155.4162516
2022-01-02T04:00:22.375000,22.35,175.1288016
2022-01-02T04:00:22.425000,22.4,162.5916629
2022-01-02T04:00:22.475000,22.45,165.1698269
2022-01-02T04:00:22.525000,22.5,145.5961186
2022-01-02T04:00:22.575000,22.55,152.9949268
2022-01-02T04:00:22.625000,22.6,149.2873076
2022-01-02T04:00:22.675000,22.65,139.9658656
2022-01-02T04:00:22.725000,22.7,193.6450337
2022-01-02T04:00:22.775000,22.75,173.1480325
2022-01-02T04:00:22.825000,22.8,141.256307
2022-01-02T04:00:22.875000,22.85,186.9091029
2022-01-02T04:00:22.925000,22.9,190.2990444
2022-01-02T04:00:22.975000,22.95,146.8047719
2022-01-02T04:00:23.025000,23,126.5790651
2022-01-02T04:00:23.075000,23.05,153.3983168
2022-01-02T04:00:23.125000,23.1,161.0168534
2022-01-02T04:00:23.175000,23.15,136.3420788
2022-01-02T04:00:23.225000,23.2,146.1107291
2022-01-02T04:00:23.275000,23.25,169.6554429
2022-01-02T04:00:23.325000,23.3,174.4911006
2022-01-02T04:00:23.375000,23.35,174.9914373
2022-01-02T04:00:23.425000,23.4,175.4908968
2022-01-02T04:00:23.475000,23.45,194.2445214
2022-01-02T04:00:23.525000,23.5,186.0049561
2022-01-02T04:00:23.575000,23.55,147.621085
2022-01-02T04:00:23.625000,23.6,174.5357874
2022-01-02T04:00:23.675000,23.65,201.588268
2022-01-02T04:00:23.725000,23.7,192.5257303
2022-01-02T04:00:23.775000,23.75,183.4123219
2022-01-02T04:00:23.825000,23.8,146.7325321
2022-01-02T04:00:23.875000,23.85,145.6486902
2022-01-02T04:00:23.925000,23.9,170.7180388
2022-01-02T04:00:23.975000,23.95,156.9445662
2022-01-02T04:00:24.025000,24,165.6361192
2022-01-02T04:00:24.075000,24.05,183.4060759
2022-01-02T04:00:24.125000,24.1,155.9599824
2022-01-02T04:00:24.175000,24.15,169.2468643
2022-01-02T04:00:24.225000,24.2,162.1095476
2022-01-02T04:00:24.275000,24.25,148.0881534
2022-01-02T04:00:24.325000,24.3,236.9333445
2022-01-02T04:00:24.375000,24.35,218.4334151
2022-01-02T04:00:24.425000,24.4,166.1260568
2022-01-02T04:00:24.475000,24.45,231.8439369
2022-01-02T04:00:24.525000,24.5,190.0875783
2022-01-02T04:00:24.575000,24.55,168.9647727
2022-01-02T04:00:24.625000,24.6,247.5288613
2022-01-02T04:00:24.675000,24.65,204.7235788
2022-01-02T04:00:24.725000,24.7,181.1432669
2022-01-02T04:00:24.775000,24.75,173.0298028
2022-01-02T04:00:24.825000,24.8,145.354353
2022-01-02T04:00:24.875000,24.85,174.6812002
2022-01-02T04:00:24.925000,24.9,168.0557832
2022-01-02T04:00:24.975000,24.95,178.6943182
2022-01-02T04:00:25.025000,25,133.428228
2022-01-02T04:00:25.075000,25.05,166.9354887
2022-01-02T04:00:25.125000,25.1,213.2566912
2022-01-02T04:00:25.175000,25.15,81.27595362
2022-01-02T04:00:25.225000,25.2,161.0032021
2022-01-02T04:00:25.275000,25.25,234.7070356
2022-01-02T04:00:25.325000,25.3,165.7754833
2022-01-02T04:00:25.375000,25.35,190.9844516
2022-01-02T04:00:25.425000,25.4,193.8406396
2022-01-02T04:00:25.475000,25.45,183.8440253
2022-01-02T04:00:25.525000,25.5,155.272162
2022-01-02T04:00:25.575000,25.55,228.2988257
2022-01-02T04:00:25.625000,25.6,249.0456607
2022-01-02T04:00:25.675000,25.65,150.6937996
2022-01-02T04:00:25.725000,25.7,193.2943001
2022-01-02T04:00:25.775000,25.75,166.0514991
2022-01-02T04:00:25.825000,25.8,150.9301816
2022-01-02T04:00:25.875000,25.85,192.9731521
2022-01-02T04:00:25.925000,25.9,165.5506747
2022-01-02T04:00:25.975000,25.95,171.6708492
2022-01-02T04:00:26.025000,26,126.8120817
2022-01-02T04:00:26.075000,26.05,164.1955953
2022-01-02T04:00:26.125000,26.1,190.9906456
2022-01-02T04:00:26.175000,26.15,135.9599521
2022-01-02T04:00:26.225000,26.2,170.2638065
2022-01-02T04:00:26.275000,26.25,149.8639876
2022-01-02T04:00:26.325000,26.3,165.178942
2022-01-02T04:00:26.375000,26.35,208.9119916
2022-01-02T04:00:26.425000,26.4,192.6383042
2022-01-02T04:00:26.475000,26.45,188.0216992
2022-01-02T04:00:26.525000,26.5,165.7658748
2022-01-02T04:00:26.575000,26.55,234.2050403
2022-01-02T04:00:26.625000,26.6,254.8974734
2022-01-02T04:00:26.675000,26.65,179.4749968
2022-01-02T04:00:26.725000,26.7,168.0123779
2022-01-02T04:00:26.775000,26.75,153.1166367
2022-01-02T04:00:26.825000,26.8,169.557606
